Date,Topic,Size
2020,-1,2088
2020,0,469
2020,1,20
2020,2,57
2020,3,3
2020,4,62
2020,5,26
2020,6,54
2020,7,18
2020,8,64
2020,9,6
2020,10,1
2020,11,9
2020,12,19
2020,13,23
2020,14,23
2020,16,13
2020,17,50
2020,18,11
2020,19,1
2020,20,8
2020,21,6
2020,22,6
2020,23,12
2020,24,10
2020,25,8
2020,26,2
2020,28,4
2020,29,1
2020,30,1
2020,31,2
2020,33,4
2020,34,16
2020,36,4
2020,37,20
2020,38,8
2020,40,3
2020,43,6
2020,44,7
2020,45,7
2020,48,1
2020,49,2
2020,51,3
2020,53,1
2020,54,4
2020,55,1
2020,56,5
2020,57,7
2020,59,3
2020,60,10
2020,61,13
2020,63,1
2020,64,6
2020,65,4
2020,69,1
2020,71,3
2020,72,8
2020,73,3
2020,75,1
2020,77,2
2020,79,2
2020,80,11
2020,81,11
2020,84,1
2020,89,1
2021,-1,2517
2021,0,508
2021,1,26
2021,2,69
2021,3,9
2021,4,18
2021,5,28
2021,6,28
2021,7,25
2021,8,14
2021,9,36
2021,10,6
2021,11,27
2021,12,21
2021,13,23
2021,14,25
2021,16,5
2021,17,8
2021,18,13
2021,20,11
2021,21,38
2021,22,15
2021,23,2
2021,24,9
2021,25,17
2021,26,3
2021,28,11
2021,29,3
2021,30,22
2021,31,2
2021,33,33
2021,34,20
2021,36,7
2021,37,11
2021,38,19
2021,39,5
2021,40,14
2021,42,26
2021,43,8
2021,44,5
2021,45,9
2021,46,1
2021,47,1
2021,48,5
2021,49,3
2021,50,21
2021,51,3
2021,52,23
2021,53,6
2021,54,9
2021,55,2
2021,56,4
2021,57,5
2021,58,16
2021,59,5
2021,60,4
2021,61,1
2021,62,5
2021,63,1
2021,64,5
2021,65,1
2021,68,5
2021,69,2
2021,71,2
2021,72,3
2021,73,8
2021,75,1
2021,78,14
2021,79,7
2021,83,1
2021,85,1
2021,86,1
2021,87,3
2021,88,1
2021,89,3
2022,-1,3298
2022,0,745
2022,1,138
2022,2,48
2022,3,113
2022,4,37
2022,5,28
2022,6,16
2022,7,32
2022,8,19
2022,9,19
2022,10,10
2022,11,26
2022,12,24
2022,13,21
2022,14,16
2022,15,62
2022,16,50
2022,17,4
2022,18,30
2022,19,2
2022,20,18
2022,21,14
2022,22,16
2022,23,27
2022,24,14
2022,25,9
2022,26,4
2022,27,6
2022,28,10
2022,29,45
2022,30,25
2022,31,7
2022,32,14
2022,33,5
2022,34,3
2022,35,1
2022,36,7
2022,37,2
2022,38,9
2022,39,29
2022,40,9
2022,42,9
2022,43,12
2022,44,3
2022,45,8
2022,46,23
2022,49,10
2022,50,3
2022,51,12
2022,52,1
2022,53,1
2022,54,4
2022,56,11
2022,57,10
2022,58,4
2022,59,7
2022,60,3
2022,61,2
2022,62,6
2022,63,5
2022,64,9
2022,65,2
2022,67,18
2022,68,7
2022,69,5
2022,70,10
2022,71,3
2022,72,3
2022,73,3
2022,74,1
2022,75,8
2022,76,5
2022,78,1
2022,80,1
2022,81,1
2022,83,1
2022,84,7
2022,86,9
2022,87,4
2022,88,9
2022,89,4
2023,-1,3439
2023,0,753
2023,1,65
2023,2,37
2023,3,12
2023,4,9
2023,5,37
2023,6,19
2023,7,38
2023,8,12
2023,9,45
2023,10,83
2023,11,37
2023,12,19
2023,13,14
2023,14,15
2023,15,16
2023,16,7
2023,17,10
2023,18,12
2023,19,62
2023,20,24
2023,22,20
2023,23,15
2023,24,22
2023,25,20
2023,26,45
2023,27,47
2023,28,26
2023,29,2
2023,30,1
2023,31,37
2023,32,33
2023,33,1
2023,34,2
2023,35,39
2023,36,22
2023,37,7
2023,38,3
2023,39,3
2023,40,11
2023,41,36
2023,43,9
2023,44,18
2023,45,8
2023,46,3
2023,47,26
2023,48,20
2023,49,10
2023,50,1
2023,51,7
2023,53,16
2023,54,7
2023,55,21
2023,56,3
2023,57,1
2023,58,2
2023,59,7
2023,60,4
2023,61,4
2023,62,9
2023,63,13
2023,65,13
2023,66,20
2023,67,1
2023,68,7
2023,69,11
2023,70,8
2023,71,10
2023,72,4
2023,73,4
2023,74,16
2023,75,7
2023,76,12
2023,77,14
2023,78,1
2023,79,6
2023,80,2
2023,81,1
2023,82,13
2023,83,11
2023,84,4
2023,85,11
2023,86,1
2023,87,4
2023,89,2
